articleSourceId,sourceUrl,title,englishAbstract,spanishAbstract,portugueseAbstract,owner,pais,producto,dateOfHit
mdl-39295862,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39295862,The immune response to Covid-19 mRNA vaccination among Lymphoma patients receiving anti-CD20 treatment.,"The monoclonal antibody rituximab improves clinical outcome in the treatment of CD20-positive lymphomatous neoplasms, and it is an established drug for treatment of these cancers. Successful mRNA COVID-19 (SARS-CoV-2) vaccination is extremely important for lymphoma patients because they tend to be elderly with comorbidities which leaves them at increased risk of poor outcomes once infected by Coronavirus. Anti-CD20 therapies such as rituximab, deplete B-cell populations and can affect vaccine efficacy. Therefore, a knowledge of the effect of COVID-19 vaccination in this group is critical. We followed a cohort of 28 patients with CD20-positive lymphomatous malignancies treated with rituximab that started prior to their course of COVID-19 vaccination, including boosters. We assayed for vaccine ""take"" in the humoral (IgG and IgA) and cellular compartment. Here, we show that short-term and long-term development of IgG and IgA antibodies directed toward COVID-19 spike protein are reduced in these patients compared to healthy controls. Conversely, the robustness and breath of underlying T-cell response is equal to healthy controls. This response is not limited to specific parts of the spike protein but spans the spike region, including response to the conserved Receptor Binding Domain (RBD). Our data informs on rational vaccine design and bodes well for future vaccination strategies that require strong induction of T-cell responses in these patients.","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39314994,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39314994,Optimizing clinical outcomes: The journey of twins with CRIM-negative infantile-onset Pompe disease on high-dose enzyme replacement therapy and immunomodulation.,"Infantile-onset Pompe disease (IOPD) is caused by a deficiency in the enzyme acid alpha-glucosidase (GAA). It is characterized by severe and progressive hypertrophic cardiomyopathy and muscle weakness with death in the first 2 years of life if left untreated. Enzyme replacement therapy (ERT) with alglucosidase-alfa is lifesaving, but its effectiveness is influenced by the patient's cross-reactive immunologic material (CRIM) status, dose of ERT, and the development of high antibody titers, which can reduce the therapy's efficacy. The inability of CRIM-negative IOPD patients to produce native GAA exposes them to a high risk of development of anti-rhGAA IgG antibody titers, leading to treatment failure. We present the case of CRIM-negative dizygotic twins treated with high-dose alglucosidase-alfa (40 mg/kg/week), initiated at 28 days (Twin A) and 44 days (Twin B). Both twins received immune tolerance induction (ITI) with rituximab, methotrexate, and IVIG to mitigate antibody response. Initial evaluations revealed elevated left ventricular mass index (LVMI) and elevated biomarkers (urine glucose tetrasaccharide (Glc4), creatine kinase (CK), and aspartate aminotransferase (AST)) in both twins. Following treatment, cardiac function and biomarkers normalized within several months, with a slight delay in Twin B compared to Twin A, likely attributed to the later initiation of ERT. Both twins safely tolerated ITI, achieving immune tolerance with low antibody titers. At 28 months, the twins transitioned to avalglucosidase-alfa (40 mg/kg every other week (EOW)), which was well tolerated without an increase in antibody titers. At 39 months, both twins exhibited normal cardiac function, LVMI, and biomarkers. Motor skills continued to improve, though some kinematic concerns persisted. These cases underscore the importance of early, high-dose ERT combined with ITI in managing CRIM-negative IOPD. While transitioning to avalglucosidase-alfa at 40 mg/kg/EOW was beneficial and well-tolerated in our patients, further studies are needed to confirm its long-term efficacy compared to the high-dose weekly 40 mg/kg alglucosidase-alfa.","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39309451,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39309451,Paraneoplastic myelitis associated with Waldenström macroglobulinemia responsive to treatment with ibrutinib - venetoclax: A case report.,"Waldenström macroglobulinemia (WM) is a B-cell lymphoproliferative malignancy characterized by IgM paraproteinemia and presence of lymphoplasmacytic cells in the bone marrow. Isolated longitudinally extensive transverse myelitis (LETM) is a rare manifestation of WM. We report a rare case of paraneoplastic LETM in a 68-year-old male with treatment-naïve WM (MYD88 L265P mutation in bone marrow aspirate), who responded to ibrutinib and venetoclax therapy. Our patient presented with a two-month history of unsteadiness, tingling, and numbness in both hands and feet, that progressed to bilateral leg and arm weakness. Based on radiographic findings, a diagnosis of paraneoplastic LETM was made and he was treated acutely with IV methylprednisolone followed by a quick oral prednisone taper. However, he subsequently relapsed and symptomatically worsened while on rituximab therapy. Accounting for worsening anemia, our patient was enrolled in a Phase II trial evaluating the effects of ibrutinib-venetoclax therapy in treatment naïve WM. After three months of study therapy, he had a complete response of myelopathy symptoms and MRI lesions. Our observation of sustained disease response in this patient may support a role for concurrent BTK and BCL2 inhibition in paraneoplastic myelitis associated with B-cell lymphoproliferative disorders. However, this observation needs to be validated in larger cohort studies and potentially in clinical trials if further data are supportive.","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39310552,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39310552,Strategies for Diagnosing and Treating Disseminated Methicillin-Sensitive Staphylococcus aureus Infections: Insights From a Pustular Eruption.,"A 63-year-old immunocompromised male with a history of renal transplant and stage III large B-cell non-Hodgkin lymphoma undergoing rituximab, cyclophosphamide, doxorubicin, vincristine, and prednisone (R-CHOP) therapy presented with fever and a disseminated pustular eruption. Initial laboratory values indicated septicemia. Differential diagnoses included Sweet's syndrome, septic emboli, and leukocytoclastic vasculitis. Punch biopsies and bacterial cultures confirmed disseminated methicillin-sensitive Staphylococcus aureus (MSSA) infection. Histopathology revealed intraepidermal vesiculopustules and bacterial cocci colonies in the superficial dermis, suggesting hematogenous spread. The patient's indwelling venous access port was identified as the infection source and removed. Treatment included antibiotics such as cefepime, vancomycin, fluconazole, and acyclovir, as well as filgrastim for neutropenia. Following port removal and a four-week course of ceftriaxone, the patient's condition improved. This case highlights the importance of clinicopathologic correlation in diagnosing and managing disseminated staphylococcal infections in immunocompromised patients. The rare presentation of vesiculopustular eruptions secondary to MSSA emphasizes the need for prompt identification and treatment to prevent severe complications. This report contributes to the limited literature on disseminated staphylococcal infections presenting as vesiculopustular eruptions in immunocompromised individuals.","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39313873,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39313873,A Rare Presentation of Cryoglobulinemic Vasculitis Associated with Primary Sjögren's Syndrome.,"INTRODUCTION: Sjögren's syndrome is a chronic autoimmune disorder that results in dry eyes and mouth. It is rarely associated with cryoglobulinemia, the agglutination of cryoglobulins at cold temperatures that leads to systemic inflammation and organ damage. We have, herein, presented a case of Cryoglobulinemic Vasculitis (CryoVas), which presents as cryoglobulinemic glomerulonephritis and Central Nervous System (CNS) vasculitis and peripheral neuropathy. CASE REPORT: A 52-year-old woman with a past medical history of Sjögren's syndrome was admitted to the intensive care unit with severe hyponatremia, orthopnea, and progressive lower extremity weakness, and was found to have an intradural extramedullary hematoma with mass effect in the thoracic spine and diffuse hyperintense cord signal abnormality in thoracic spine suggestive of intermixed proteinaceous or hemorrhagic material. Further testing demonstrated that the patient experienced worsening neuropathy, proteinuria, hematuria, declining renal function, and the presence of cryoglobulins in the blood. After a thorough examination and a renal biopsy, the patient was diagnosed with cryoglobulinemic glomerulonephritis and cryoglobulinemic vasculitis of the spine. The patient was treated with rituximab and pulse-dose steroids, with which the patient exhibited improved renal function and resolution of a previously seen intradural hematoma on repeat MRI. CONCLUSION: We have, herein, discussed a rare case of cryoglobulinemic vasculitis that has led to a rare CNS manifestation and concomitant cryoglobulinemic glomerulonephritis. This suggests that clinicians should consider cryoglobulinemic vasculitis as the etiology that could manifest with multiorgan involvement, especially in patients with underlying rheumatic diseases.","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39313909,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39313909,Re-vaccination against SARS-CoV-2 in allogeneic HSCT patients: Repeated primary vaccine doses increase seroconversion rates.,"Patients with haematological malignancies often exhibit reduced antibody responses to severe acute respiratory syndrome-related coronavirus vaccines, especially those who have undergone allogeneic haematopoietic stem cell transplantation (HSCT). Limited data exist on vaccine efficacy in this group. In a retrospective analysis of 75 post-HSCT patients, we assessed serologic responses to one to four doses of Pfizer-BioNTech (PB), AstraZeneca (AZ) or Moderna (MU) vaccines within 2 years post-transplant. Seroconversion rates were 50.7%, 78%, 79% and 83% after the first to fourth doses respectively. The median time from allograft to first re-vaccination was 145 days (range 79-700). Failure to respond to the first vaccine dose was linked to acute GVHD (p = 0.042) and rituximab treatment within 12 months (p = 0.019). A trend was observed with chronic GVHD and seroconversion failure after the second (p = 0.07) and third (p = 0.09) doses. Patients vaccinated before HSCT showed better antibody responses post-transplant (p = 0.019). Coronavirus disease 2019 incidence was 16%, with 17% hospitalized and one death (8%). Despite low initial seroconversion rates post-HSCT, antibody responses improved after the second dose. Early full re-vaccination and boosters post-HSCT are recommended to reduce mortality. Rituximab use and active GVHD were identified as risk factors, warranting further investigation.","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39253590,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39253590,An unusual case of early onset opsoclonus-myoclonus syndrome: Case report and literature review.,"Opsoclonus-myoclonus syndrome is a rare neurological condition characterized by opsoclonus, myoclonus, ataxia, irritability, and sleep disturbances. In pediatric patients, symptoms usually start between 16 and 18 months of age; opsoclonus-myoclonus syndrome presentation in children under 6 months is rare. Approximately 50% of cases are associated with neuroblastoma. We report an early onset presentation of opsoclonus-myoclonus syndrome in a previously healthy, 3-month-old female infant. The diagnostic workup revealed no abnormalities. The patient underwent monthly cycles of dexamethasone pulses and intravenous immunoglobulin with a favorable response. After a few months, the patient presented intermittent opsoclonus before the next scheduled pulse so from the 9th cycle onwards, the intravenous immunoglobulin dose was increased to 2 g/kg. After 9 months of treatment, she was diagnosed with a latent Mycobacterium tuberculosis infection. Due to this infection, dexamethasone pulses were discontinued, and intravenous immunoglobulin treatment was maintained with clinical improvement The patient received 18 intravenous immunoglobulin cycles, leaving her with a score of one on the Mitchell-Pike scale. Developmental milestones have been attained according to age. Despite the range of therapeutic options for managing opsoclonus-myoclonus syndrome described in the literature, the efficacy of these available therapies needs to be better established. A modified upfront approach with dexamethasone and intravenous immunoglobulin could be an option in settings where rituximab is unavailable.","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39261034,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39261034,[BRONCHOPULMONARY ASPERGILLOSIS WITH COMORBID GRANULOMATOUS POLYANGIITIS IN A PATIENT WHO PRESENTED WITH EXOPHTHALMOS: A CASE REPORT].,"","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39262360,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39262360,[English Title : Treatment of membranous nephropathy].,"","","",ELEA,Argentina,NOVEX,2024-09-02
mdl-39259430,https://pesquisa.bvsalud.org/portal/resource/es/mdl-39259430,B-cell Depletion Therapy in Pediatric Neuroinflammatory Disease.,"PURPOSE OF REVIEW: B-cell depletion therapy, including anti-CD20 and anti-CD19 therapies, is increasingly used for a variety of autoimmune and conditions, including those affecting the central nervous system. However, B-cell depletion therapy use can be complicated by adverse effects associated with administration and immunosuppression. This review aims to summarize the application of anti-CD20 and anti-CD19 therapies for the pediatric neurologist and neuroimmunologist. RECENT FINDINGS: Most existing literature come from clinical trials with adult patients, although more recent studies are now capturing the effects of these therapies in children. The most common side effects include infusion related reactions and increased infection risk from immunosuppression. Several strategies can mitigate infusion related reactions. Increased infections due to persistent hypogammaglobulinemia can benefit from replacement immunoglobulin. B-cell depletion therapies can be safe and effective in pediatric patients. Anticipation and mitigation of common adverse effects through primary prevention strategies, close monitoring, and appropriate symptomatic management can improve safety and tolerability.","","",ELEA,Argentina,NOVEX,2024-09-02
